"module name","licenses","repository","licenseUrl","parents"
"@fortawesome/fontawesome-free@5.12.1","(CC-BY-4.0 AND OFL-1.1 AND MIT)","https://github.com/FortAwesome/Font-Awesome","https://github.com/FortAwesome/Font-Awesome/raw/master/LICENSE.txt","acap-sdk"
"@types/events@3.0.0","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","acap-sdk"
"@types/glob@7.1.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","acap-sdk"
"@types/minimatch@3.0.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","acap-sdk"
"@types/node@13.9.3","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","acap-sdk"
"@webassemblyjs/ast@1.8.5","MIT","https://github.com/xtuc/webassemblyjs","https://github.com/xtuc/webassemblyjs/raw/master/LICENSE","acap-sdk"
"@webassemblyjs/floating-point-hex-parser@1.8.5","MIT","https://github.com/xtuc/webassemblyjs","https://github.com/xtuc/webassemblyjs/raw/master/LICENSE","acap-sdk"
"@webassemblyjs/helper-api-error@1.8.5","MIT","","","acap-sdk"
"@webassemblyjs/helper-buffer@1.8.5","MIT","https://github.com/xtuc/webassemblyjs","https://github.com/xtuc/webassemblyjs/raw/master/LICENSE","acap-sdk"
"@webassemblyjs/helper-code-frame@1.8.5","MIT","https://github.com/xtuc/webassemblyjs","https://github.com/xtuc/webassemblyjs/raw/master/LICENSE","acap-sdk"
"@webassemblyjs/helper-fsm@1.8.5","ISC","","","acap-sdk"
"@webassemblyjs/helper-module-context@1.8.5","MIT","https://github.com/xtuc/webassemblyjs","https://github.com/xtuc/webassemblyjs/raw/master/LICENSE","acap-sdk"
"@webassemblyjs/helper-wasm-bytecode@1.8.5","MIT","https://github.com/xtuc/webassemblyjs","https://github.com/xtuc/webassemblyjs/raw/master/LICENSE","acap-sdk"
